Name,Score,Checkout
Miss,0,N
Single 1,1,N
Single 2,2,N
Single 3,3,N
Single 4,4,N
Single 5,5,N
Single 6,6,N
Single 7,7,N
Single 8,8,N
Single 9,9,N
Single 10,10,N
Single 11,11,N
Single 12,12,N
Single 13,13,N
Single 14,14,N
Single 15,15,N
Single 16,16,N
Single 17,17,N
Single 18,18,N
Single 19,19,N
Single 20,20,N
Double 1,2,Y
Double 2,4,Y
Double 3,6,Y
Double 4,8,Y
Double 5,10,Y
Double 6,12,Y
Double 7,14,Y
Double 8,16,Y
Double 9,18,Y
Double 10,20,Y
Double 11,22,Y
Double 12,24,Y
Double 13,26,Y
Double 14,28,Y
Double 15,30,Y
Double 16,32,Y
Double 17,34,Y
Double 18,36,Y
Double 19,38,Y
Double 20,40,Y
Treble 1,3,N
Treble 2,6,N
Treble 3,9,N
Treble 4,12,N
Treble 5,15,N
Treble 6,18,N
Treble 7,21,N
Treble 8,24,N
Treble 9,27,N
Treble 10,30,N
Treble 11,33,N
Treble 12,36,N
Treble 13,39,N
Treble 14,42,N
Treble 15,45,N
Treble 16,48,N
Treble 17,51,N
Treble 18,54,N
Treble 19,57,N
Treble 20,60,N
Outer Bullseye,25,N
Inner Bullseye,50,Y
No dart thrown,0,N
